Date,Fairfield,Hartford,Litchfield,Middlesex,New Haven,New London,Tolland,Windham,Total
1/22/20,0,0,0,0,0,0,0,0,0.0
1/23/20,0,0,0,0,0,0,0,0,0.0
1/24/20,0,0,0,0,0,0,0,0,0.0
1/25/20,0,0,0,0,0,0,0,0,0.0
1/26/20,0,0,0,0,0,0,0,0,0.0
1/27/20,0,0,0,0,0,0,0,0,0.0
1/28/20,0,0,0,0,0,0,0,0,0.0
1/29/20,0,0,0,0,0,0,0,0,0.0
1/30/20,0,0,0,0,0,0,0,0,0.0
1/31/20,0,0,0,0,0,0,0,0,0.0
2/1/20,0,0,0,0,0,0,0,0,0.0
2/2/20,0,0,0,0,0,0,0,0,0.0
2/3/20,0,0,0,0,0,0,0,0,0.0
2/4/20,0,0,0,0,0,0,0,0,0.0
2/5/20,0,0,0,0,0,0,0,0,0.0
2/6/20,0,0,0,0,0,0,0,0,0.0
2/7/20,0,0,0,0,0,0,0,0,0.0
2/8/20,0,0,0,0,0,0,0,0,0.0
2/9/20,0,0,0,0,0,0,0,0,0.0
2/10/20,0,0,0,0,0,0,0,0,0.0
2/11/20,0,0,0,0,0,0,0,0,0.0
2/12/20,0,0,0,0,0,0,0,0,0.0
2/13/20,0,0,0,0,0,0,0,0,0.0
2/14/20,0,0,0,0,0,0,0,0,0.0
2/15/20,0,0,0,0,0,0,0,0,0.0
2/16/20,0,0,0,0,0,0,0,0,0.0
2/17/20,0,0,0,0,0,0,0,0,0.0
2/18/20,0,0,0,0,0,0,0,0,0.0
2/19/20,0,0,0,0,0,0,0,0,0.0
2/20/20,0,0,0,0,0,0,0,0,0.0
2/21/20,0,0,0,0,0,0,0,0,0.0
2/22/20,0,0,0,0,0,0,0,0,0.0
2/23/20,0,0,0,0,0,0,0,0,0.0
2/24/20,0,0,0,0,0,0,0,0,0.0
2/25/20,0,0,0,0,0,0,0,0,0.0
2/26/20,0,0,0,0,0,0,0,0,0.0
2/27/20,0,0,0,0,0,0,0,0,0.0
2/28/20,0,0,0,0,0,0,0,0,0.0
2/29/20,0,0,0,0,0,0,0,0,0.0
3/1/20,0,0,0,0,0,0,0,0,0.0
3/2/20,0,0,0,0,0,0,0,0,0.0
3/3/20,0,0,0,0,0,0,0,0,0.0
3/4/20,0,0,0,0,0,0,0,0,0.0
3/5/20,0,0,0,0,0,0,0,0,0.0
3/6/20,0,0,0,0,0,0,0,0,0.0
3/7/20,0,0,0,0,0,0,0,0,0.0
3/8/20,0,0,0,0,0,0,0,0,0.0
3/9/20,0,0,0,0,0,0,0,0,0.0
3/10/20,1,0,0,0,0,0,0,0,1.0
3/11/20,2,0,1,0,0,0,0,0,3.0
3/12/20,4,0,1,0,0,0,0,0,5.0
3/13/20,8,0,3,0,0,0,0,0,11.0
3/14/20,15,1,3,0,4,0,0,0,23.0
3/15/20,15,2,3,0,4,0,0,0,24.0
3/16/20,29,4,4,0,4,0,0,0,41.0
3/17/20,48,7,5,0,8,0,0,0,68.0
3/18/20,69,11,5,1,10,0,0,0,96.0
3/19/20,102,18,7,3,23,0,4,0,157.0
3/20/20,122,29,8,5,23,1,4,2,194.0
3/21/20,122,29,8,5,23,1,4,2,194.0
3/22/20,208,54,12,6,29,3,14,1,327.0
3/23/20,270,61,13,8,41,4,16,2,415.0
3/24/20,384,88,22,8,89,6,19,2,618.0
3/25/20,546,116,33,15,127,9,27,2,875.0
3/26/20,607,138,44,18,156,13,33,3,1012.0
3/27/20,752,189,52,25,222,15,33,3,1291.0
3/28/20,908,228,65,28,236,19,37,3,1524.0
3/29/20,1245,276,87,38,280,20,40,7,1993.0
3/30/20,1445,330,113,50,373,24,50,10,2395.0
3/31/20,1870,393,121,56,517,27,56,11,3051.0
4/1/20,1986,469,131,66,611,29,61,19,3372.0
4/2/20,2132,539,141,74,647,29,67,21,3650.0
4/3/20,2716,679,173,91,891,40,79,27,4696.0
4/4/20,2824,726,182,100,1024,57,91,31,5035.0
4/5/20,3050,751,197,110,1162,57,94,32,5453.0
4/6/20,3719,882,230,135,1468,65,103,40,6642.0
4/7/20,4136,1045,255,150,1664,85,111,43,7489.0
4/8/20,4136,1045,255,150,1664,85,111,43,7489.0
4/9/20,4882,1471,315,205,2183,139,145,52,9392.0
4/10/20,5180,1615,346,240,2383,156,152,59,10131.0
4/11/20,5407,1832,388,290,2715,185,171,66,11054.0
4/12/20,5534,1914,403,299,2946,190,182,66,11534.0
4/13/20,6004,2243,446,339,3358,222,195,83,12890.0
4/14/20,6213,2370,460,355,3543,227,201,87,13456.0
4/15/20,6480,2570,490,379,3758,236,216,89,14218.0
4/16/20,6816,2859,535,394,4163,255,241,87,15350.0
4/17/20,7146,3015,569,422,4520,292,258,92,16314.0
4/18/20,7363,3196,593,448,4743,315,270,97,17025.0
4/19/20,7434,3351,600,462,4871,339,276,100,17433.0
4/20/20,8320,3823,639,484,5272,356,299,108,19301.0
4/21/20,8472,3951,643,512,5493,369,305,112,19857.0
4/22/20,9883,4128,722,525,5811,397,331,122,21919.0
4/23/20,10008,4303,751,545,6064,419,359,129,22578.0
4/24/20,10227,4570,808,561,6286,448,375,139,23414.0
4/25/20,10373,4761,834,576,6509,473,384,151,24061.0
4/26/20,10529,4989,864,588,6715,498,407,157,24747.0
4/27/20,10763,5157,892,609,6993,516,419,164,25513.0
4/28/20,10874,5224,900,618,7089,530,422,164,25821.0
4/29/20,10985,5388,919,631,7205,540,427,165,26260.0
4/30/20,11294,5601,963,657,7536,564,437,186,27238.0
5/1/20,11612,5931,1014,687,7900,603,446,200,28393.0
5/2/20,11801,6112,1036,707,8024,623,461,211,28975.0
5/3/20,11801,6112,1036,707,8024,623,461,211,28975.0
5/4/20,12245,6173,1047,713,8110,641,464,217,29610.0
5/5/20,12360,6351,1065,734,8337,681,502,223,30253.0
5/6/20,12455,6530,1085,742,8419,704,513,242,30690.0
5/7/20,12679,6750,1114,764,8678,742,522,250,31499.0
5/8/20,12879,6904,1130,775,8887,755,530,249,32109.0
5/9/20,13030,7105,1142,789,9091,775,540,266,32738.0
5/10/20,13236,7263,1153,798,9209,782,543,270,33254.0
5/11/20,13312,7358,1161,801,9260,784,545,271,33492.0
5/12/20,13488,7528,1171,823,9430,793,556,281,34070.0
5/13/20,13636,7732,1179,837,9570,804,560,287,34605.0
5/14/20,13836,7935,1203,863,9712,821,568,291,35229.0
5/15/20,14009,8126,1218,885,9881,844,583,301,35847.0
5/16/20,14140,8299,1234,898,10075,860,636,304,36446.0
5/17/20,14248,8723,1269,909,10159,873,715,313,37209.0
5/18/20,14439,8957,1280,936,10338,876,735,322,37883.0
5/19/20,14522,9050,1290,947,10427,880,770,326,38212.0
5/20/20,14719,9234,1299,965,10587,896,786,329,38815.0
5/21/20,14751,9299,1303,972,10663,903,787,336,39014.0
5/22/20,14889,9463,1298,992,10756,910,796,348,39452.0
5/23/20,14989,9545,1304,999,10847,970,799,354,39807.0
5/24/20,15114,9686,1331,1010,10905,1046,807,359,40258.0
5/25/20,15213,9841,1346,1012,11017,1043,812,365,40649.0
5/26/20,15355,9917,1360,1026,11121,1075,821,371,41046.0
5/27/20,15314,9962,1360,1061,11124,1053,815,371,41060.0
5/28/20,15353,10078,1366,1082,11198,1067,822,375,41341.0
5/29/20,15409,10146,1375,1090,11241,1068,827,380,41536.0
5/30/20,15502,10207,1381,1104,11309,1076,833,381,41793.0
5/31/20,15549,10296,1397,1104,11323,1078,836,384,41967.0
6/1/20,15709,10448,1400,1143,11479,1091,845,388,42503.0
6/2/20,15776,10536,1402,1154,11525,1094,848,393,42728.0
6/3/20,15789,10593,1404,1161,11548,1100,856,392,42843.0
6/4/20,15843,10636,1406,1171,11582,1104,859,397,42998.0
6/5/20,15914,10677,1409,1170,11673,1108,859,405,43215.0
6/6/20,16020,10747,1413,1174,11817,1112,864,416,43563.0
6/7/20,16056,10809,1419,1185,11828,1119,864,420,43700.0
6/8/20,16092,10844,1426,1187,11860,1120,863,428,43820.0
6/9/20,16108,10859,1432,1194,11875,1122,873,430,43893.0
6/10/20,16134,10924,1430,1199,11911,1130,878,437,44043.0
6/11/20,16155,10967,1435,1210,11930,1147,883,441,44168.0
6/12/20,16178,11103,1435,1216,11979,1150,886,453,44400.0
6/13/20,16277,11189,1439,1223,12021,1198,885,463,44695.0
6/14/20,16306,11218,1442,1229,12034,1236,888,465,44818.0
6/15/20,16338,11231,1441,1233,12055,1240,888,467,44893.0
6/16/20,16359,11261,1443,1235,12078,1276,888,469,45009.0
6/17/20,16381,11284,1444,1241,12089,1285,889,471,45084.0
6/18/20,16398,11322,1447,1246,12105,1288,892,472,45170.0
6/19/20,16425,11358,1448,1254,12136,1203,893,567,45284.0
6/20/20,16469,11392,1467,1258,12174,1209,895,575,45439.0
6/21/20,16475,11405,1467,1259,12185,1217,895,579,45482.0
6/22/20,16483,11414,1467,1259,12196,1214,895,584,45512.0
6/23/20,16522,11443,1469,1272,12225,1221,898,587,45637.0
6/24/20,16527,11450,1469,1273,12227,1221,898,588,45653.0
6/25/20,16547,11483,1469,1277,12245,1219,899,595,45734.0
6/26/20,16564,11511,1471,1282,12254,1223,904,598,45807.0
6/27/20,16606,11558,1482,1287,12275,1241,906,599,45954.0
6/28/20,16633,11587,1482,1292,12299,1244,910,605,46052.0
6/29/20,16664,11623,1487,1295,12318,1255,909,606,46157.0
6/30/20,16703,11662,1490,1305,12359,1268,913,610,46310.0
7/1/20,16717,11691,1490,1304,12368,1268,913,612,46363.0
7/2/20,16733,11716,1492,1311,12383,1273,915,612,46435.0
7/3/20,16757,11728,1494,1308,12409,1277,915,616,46504.0
7/4/20,16757,11728,1494,1308,12409,1277,915,616,46504.0
7/5/20,16757,11728,1494,1308,12409,1277,915,616,46504.0
7/6/20,16823,11794,1504,1321,12462,1296,925,624,46749.0
7/7/20,16837,11812,1508,1320,12473,1304,925,627,46806.0
7/8/20,16859,11835,1509,1331,12486,1308,926,626,46880.0
7/9/20,16886,11866,1510,1334,12509,1319,928,630,46982.0
7/10/20,16906,11892,1510,1335,12532,1322,928,632,47057.0
7/11/20,16906,11892,1510,1335,12532,1322,928,632,47057.0
7/12/20,16906,11892,1510,1335,12532,1322,928,632,47057.0
7/13/20,16954,11949,1512,1340,12612,1328,935,636,47266.0
7/14/20,16960,11950,1512,1341,12617,1334,935,638,47287.0
7/15/20,16993,11980,1517,1346,12643,1339,937,639,47394.0
7/16/20,17027,12016,1520,1351,12686,1345,937,642,47524.0
7/17/20,17069,12046,1523,1357,12733,1347,939,651,47665.0
7/18/20,17069,12046,1523,1357,12733,1347,939,651,47665.0
7/19/20,17069,12046,1523,1357,12733,1347,939,651,47665.0
7/20/20,17112,12082,1524,1359,12788,1356,948,652,47821.0
7/21/20,17123,12101,1525,1361,12794,1357,946,653,47860.0
7/22/20,17164,12147,1530,1362,12825,1364,946,655,47993.0
7/23/20,17184,12145,1530,1360,12835,1352,937,655,47998.0
7/24/20,17421,12340,1560,1365,12884,1362,964,658,48554.0
7/25/20,17421,12340,1560,1365,12884,1362,964,658,48554.0
7/26/20,17421,12340,1560,1365,12884,1362,964,658,48554.0
7/27/20,17459,12390,1568,1373,12941,1373,969,668,48741.0
7/28/20,17494,12401,1570,1374,12965,1382,972,674,48832.0
7/29/20,17733,12542,1593,1375,12983,1387,1001,676,49290.0
7/30/20,17786,12561,1599,1377,13013,1396,1011,685,49428.0
7/31/20,17793,12645,1597,1377,13041,1402,1019,693,49567.0
8/1/20,17793,12645,1597,1377,13041,1402,1019,693,49567.0
8/2/20,17793,12645,1597,1377,13041,1402,1019,693,49567.0
8/3/20,17870,12701,1598,1388,13086,1414,1050,712,49819.0
8/4/20,17876,12711,1600,1391,13100,1421,1053,716,49868.0
8/5/20,17912,12733,1606,1396,13118,1428,1056,722,49971.0
8/6/20,17926,12745,1607,1395,13128,1431,1055,724,50011.0
8/7/20,17956,12761,1610,1396,13145,1433,1056,726,50083.0
8/8/20,17956,12761,1610,1396,13145,1433,1056,726,50083.0
8/9/20,17956,12761,1610,1396,13145,1433,1056,726,50083.0
8/10/20,18035,12800,1615,1405,13224,1457,1056,738,50330.0
8/11/20,18081,12826,1618,1408,13240,1467,1056,745,50441.0
8/12/20,18088,12830,1617,1408,13254,1469,1056,748,50470.0
8/13/20,18126,12855,1620,1411,13272,1475,1056,751,50566.0
8/14/20,18160,12871,1632,1414,13316,1477,1056,755,50681.0
8/15/20,18160,12871,1632,1414,13316,1477,1056,755,50681.0
8/16/20,18160,12871,1632,1414,13316,1477,1056,755,50681.0
8/17/20,18317,12956,1637,1425,13378,1499,1059,762,51033.0
8/18/20,18322,12949,1636,1424,13376,1497,1075,762,51041.0
8/19/20,18347,12956,1638,1425,13388,1499,1081,767,51101.0
8/20/20,18401,12978,1642,1425,13422,1503,1082,767,51220.0
8/21/20,18434,13002,1645,1426,13442,1505,1083,768,51305.0
8/22/20,18434,13002,1645,1426,13442,1505,1083,768,51305.0
8/23/20,18434,13002,1645,1426,13442,1505,1083,768,51305.0
8/24/20,18605,13180,1658,1434,13518,1517,1085,780,51777.0
8/25/20,18622,13184,1658,1436,13524,1520,1090,780,51814.0
8/26/20,18667,13273,1662,1437,13556,1526,1093,785,51999.0
8/27/20,18721,13307,1673,1438,13584,1526,1112,785,52146.0
8/28/20,18774,13392,1688,1446,13622,1554,1126,789,52391.0
8/29/20,18774,13392,1688,1446,13622,1554,1126,789,52391.0
8/30/20,18774,13392,1688,1446,13622,1554,1126,789,52391.0
8/31/20,18903,13504,1709,1455,13675,1577,1145,801,52769.0
9/1/20,18939,13529,1713,1466,13711,1587,1147,807,52899.0
9/2/20,18965,13561,1717,1469,13736,1590,1153,810,53001.0
9/3/20,18995,13598,1721,1469,13763,1598,1158,810,53112.0
9/4/20,19031,13635,1728,1484,13793,1620,1161,813,53265.0
9/5/20,19031,13635,1728,1484,13793,1620,1161,813,53265.0
9/6/20,19031,13635,1728,1484,13793,1620,1161,813,53265.0
9/7/20,19031,13635,1728,1484,13793,1620,1161,813,53265.0
9/8/20,19135,13771,1751,1496,13858,1643,1191,825,53670.0
9/9/20,19159,13796,1752,1499,13877,1649,1200,828,53760.0
9/10/20,19260,13853,1763,1505,13917,1649,1215,828,53990.0
9/11/20,19360,13886,1773,1512,13961,1651,1232,844,54219.0
9/12/20,19360,13886,1773,1512,13961,1651,1232,844,54219.0
9/13/20,19360,13886,1773,1512,13961,1651,1232,844,54219.0
9/14/20,19518,14060,1793,1524,14059,1677,1270,868,54769.0
9/15/20,19558,14099,1798,1527,14082,1682,1281,878,54905.0
9/16/20,19611,14130,1804,1531,14102,1689,1283,884,55034.0
