Date,Hawaii,Honolulu,Kalawao,Kauai,Maui,Total
1/22/20,0,0,0,0,0,0.0
1/23/20,0,0,0,0,0,0.0
1/24/20,0,0,0,0,0,0.0
1/25/20,0,0,0,0,0,0.0
1/26/20,0,0,0,0,0,0.0
1/27/20,0,0,0,0,0,0.0
1/28/20,0,0,0,0,0,0.0
1/29/20,0,0,0,0,0,0.0
1/30/20,0,0,0,0,0,0.0
1/31/20,0,0,0,0,0,0.0
2/1/20,0,0,0,0,0,0.0
2/2/20,0,0,0,0,0,0.0
2/3/20,0,0,0,0,0,0.0
2/4/20,0,0,0,0,0,0.0
2/5/20,0,0,0,0,0,0.0
2/6/20,0,0,0,0,0,0.0
2/7/20,0,0,0,0,0,0.0
2/8/20,0,0,0,0,0,0.0
2/9/20,0,0,0,0,0,0.0
2/10/20,0,0,0,0,0,0.0
2/11/20,0,0,0,0,0,0.0
2/12/20,0,0,0,0,0,0.0
2/13/20,0,0,0,0,0,0.0
2/14/20,0,0,0,0,0,0.0
2/15/20,0,0,0,0,0,0.0
2/16/20,0,0,0,0,0,0.0
2/17/20,0,0,0,0,0,0.0
2/18/20,0,0,0,0,0,0.0
2/19/20,0,0,0,0,0,0.0
2/20/20,0,0,0,0,0,0.0
2/21/20,0,0,0,0,0,0.0
2/22/20,0,0,0,0,0,0.0
2/23/20,0,0,0,0,0,0.0
2/24/20,0,0,0,0,0,0.0
2/25/20,0,0,0,0,0,0.0
2/26/20,0,0,0,0,0,0.0
2/27/20,0,0,0,0,0,0.0
2/28/20,0,0,0,0,0,0.0
2/29/20,0,0,0,0,0,0.0
3/1/20,0,0,0,0,0,0.0
3/2/20,0,0,0,0,0,0.0
3/3/20,0,0,0,0,0,0.0
3/4/20,0,0,0,0,0,0.0
3/5/20,0,0,0,0,0,0.0
3/6/20,0,0,0,0,0,0.0
3/7/20,0,1,0,0,0,1.0
3/8/20,0,1,0,0,0,1.0
3/9/20,0,1,0,0,0,1.0
3/10/20,1,2,0,0,0,3.0
3/11/20,0,2,0,0,0,2.0
3/12/20,0,2,0,0,0,2.0
3/13/20,0,2,0,0,0,2.0
3/14/20,0,2,0,2,0,4.0
3/15/20,0,3,0,2,1,6.0
3/16/20,0,5,0,2,1,8.0
3/17/20,0,6,0,2,2,10.0
3/18/20,0,10,0,2,3,15.0
3/19/20,0,10,0,2,3,15.0
3/20/20,0,28,0,3,5,36.0
3/21/20,0,28,0,3,5,36.0
3/22/20,0,41,0,3,9,53.0
3/23/20,3,41,0,3,9,56.0
3/24/20,2,58,0,1,9,70.0
3/25/20,2,58,0,1,9,70.0
3/26/20,4,68,0,2,13,87.0
3/27/20,5,76,0,5,14,100.0
3/28/20,10,108,0,11,16,145.0
3/29/20,10,108,0,11,16,145.0
3/30/20,12,123,0,12,20,167.0
3/31/20,15,139,0,12,25,191.0
4/1/20,15,157,0,12,25,209.0
4/2/20,18,182,0,12,26,238.0
4/3/20,20,237,0,13,36,306.0
4/4/20,22,266,0,15,38,341.0
4/5/20,22,281,0,16,43,362.0
4/6/20,23,292,0,17,44,376.0
4/7/20,23,312,0,18,48,401.0
4/8/20,23,312,0,18,48,401.0
4/9/20,28,334,0,18,57,437.0
4/10/20,28,334,0,18,57,437.0
4/11/20,31,343,0,19,66,459.0
4/12/20,39,350,0,21,84,494.0
4/13/20,40,352,0,21,86,499.0
4/14/20,41,358,0,21,88,508.0
4/15/20,41,369,0,21,92,523.0
4/16/20,41,369,0,21,92,523.0
4/17/20,41,373,0,21,95,530.0
4/18/20,61,382,0,21,104,568.0
4/19/20,62,385,0,21,106,574.0
4/20/20,64,385,0,21,108,578.0
4/21/20,64,385,0,21,110,580.0
4/22/20,67,388,0,21,110,586.0
4/23/20,68,389,0,21,112,590.0
4/24/20,69,392,0,21,113,595.0
4/25/20,69,395,0,21,113,598.0
4/26/20,70,396,0,21,112,599.0
4/27/20,70,396,0,21,113,600.0
4/28/20,70,396,0,21,115,602.0
4/29/20,70,399,0,21,115,605.0
4/30/20,73,399,0,21,116,609.0
5/1/20,73,400,0,21,116,610.0
5/2/20,73,400,0,21,117,611.0
5/3/20,74,400,0,21,116,611.0
5/4/20,75,400,0,21,116,612.0
5/5/20,74,404,0,21,116,615.0
5/6/20,74,405,0,21,116,616.0
5/7/20,74,408,0,21,116,619.0
5/8/20,74,408,0,21,116,619.0
5/9/20,75,407,0,21,117,620.0
5/10/20,75,408,0,21,117,621.0
5/11/20,75,410,0,21,117,623.0
5/12/20,75,411,0,21,117,624.0
5/13/20,75,414,0,21,117,627.0
5/14/20,75,414,0,21,117,627.0
5/15/20,76,414,0,21,117,628.0
5/16/20,76,415,0,21,117,629.0
5/17/20,77,415,0,21,117,630.0
5/18/20,77,415,0,21,117,630.0
5/19/20,78,415,0,21,117,631.0
5/20/20,79,416,0,21,117,633.0
5/21/20,82,416,0,21,118,637.0
5/22/20,81,414,0,20,117,632.0
5/23/20,81,414,0,20,118,633.0
5/24/20,81,414,0,20,118,633.0
5/25/20,81,414,0,20,118,633.0
5/26/20,81,414,0,20,118,633.0
5/27/20,82,414,0,20,118,634.0
5/28/20,82,417,0,20,118,637.0
5/29/20,82,419,0,20,118,639.0
5/30/20,81,421,0,20,119,641.0
5/31/20,81,421,0,20,120,642.0
6/1/20,81,421,0,20,120,642.0
6/2/20,81,422,0,20,120,643.0
6/3/20,81,423,0,20,119,643.0
6/4/20,81,424,0,20,119,644.0
6/5/20,81,431,0,21,120,653.0
6/6/20,81,439,0,21,120,661.0
6/7/20,81,441,0,21,120,663.0
6/8/20,81,442,0,21,120,664.0
6/9/20,81,448,0,21,120,670.0
6/10/20,81,451,0,21,120,673.0
6/11/20,81,458,0,21,120,680.0
6/12/20,81,472,0,21,120,694.0
6/13/20,81,489,0,21,120,711.0
6/14/20,82,493,0,21,120,716.0
6/15/20,82,501,0,21,120,724.0
6/16/20,82,501,0,21,120,724.0
6/17/20,83,508,0,21,120,732.0
6/18/20,83,526,0,21,120,750.0
6/19/20,83,551,0,22,121,777.0
6/20/20,83,551,0,22,121,777.0
6/21/20,85,566,0,29,122,802.0
6/22/20,85,568,0,29,122,804.0
6/23/20,85,571,0,29,122,807.0
6/24/20,86,584,0,29,122,821.0
6/25/20,86,595,0,34,122,837.0
6/26/20,86,608,0,34,122,850.0
6/27/20,86,613,0,35,122,856.0
6/28/20,87,636,0,37,123,883.0
6/29/20,87,638,0,37,122,884.0
6/30/20,87,652,0,38,123,900.0
7/1/20,87,659,0,38,125,909.0
7/2/20,90,676,0,38,125,929.0
7/3/20,91,701,0,38,127,957.0
7/4/20,93,720,0,40,128,981.0
7/5/20,93,744,0,40,128,1005.0
7/6/20,94,750,0,40,128,1012.0
7/7/20,95,788,0,42,128,1053.0
7/8/20,96,808,0,42,130,1076.0
7/9/20,97,842,0,43,130,1112.0
7/10/20,98,867,0,43,131,1139.0
7/11/20,100,905,0,43,133,1181.0
7/12/20,101,923,0,43,134,1201.0
7/13/20,102,942,0,43,135,1222.0
7/14/20,105,960,0,43,135,1243.0
7/15/20,107,986,0,43,135,1271.0
7/16/20,107,1002,0,43,135,1287.0
7/17/20,109,1025,0,43,135,1312.0
7/18/20,111,1040,0,43,135,1329.0
7/19/20,113,1065,0,43,135,1356.0
7/20/20,114,1079,0,43,135,1371.0
7/21/20,114,1100,0,43,139,1396.0
7/22/20,114,1117,0,43,139,1413.0
7/23/20,117,1167,0,43,141,1468.0
7/24/20,117,1225,0,43,141,1526.0
7/25/20,117,1291,0,43,146,1597.0
7/26/20,117,1345,0,45,153,1660.0
7/27/20,117,1373,0,45,153,1688.0
7/28/20,116,1419,0,45,154,1734.0
7/29/20,116,1516,0,47,163,1842.0
7/30/20,115,1637,0,47,167,1966.0
7/31/20,115,1755,0,47,171,2088.0
8/1/20,115,1842,0,47,170,2174.0
8/2/20,115,1886,0,47,171,2219.0
8/3/20,117,2083,0,47,178,2425.0
8/4/20,122,2221,0,47,178,2568.0
8/5/20,122,2394,0,47,177,2740.0
8/6/20,123,2541,0,47,180,2891.0
8/7/20,123,2741,0,47,181,3092.0
8/8/20,128,2964,0,47,184,3323.0
8/9/20,131,3111,0,48,185,3475.0
8/10/20,131,3249,0,49,186,3615.0
8/11/20,133,3361,0,49,190,3733.0
8/12/20,135,3558,0,51,191,3935.0
8/13/20,139,3900,0,52,198,4289.0
8/14/20,144,4117,0,53,206,4520.0
8/15/20,145,4390,0,54,213,4802.0
8/16/20,148,4591,0,54,226,5019.0
8/17/20,149,4754,0,54,235,5192.0
8/18/20,152,4878,0,54,242,5326.0
8/19/20,159,5111,0,54,262,5586.0
8/20/20,164,5340,0,54,263,5821.0
8/21/20,177,5547,0,56,269,6049.0
8/22/20,192,5806,0,56,279,6333.0
8/23/20,200,6031,0,56,290,6577.0
8/24/20,209,6181,0,56,300,6746.0
8/25/20,220,6382,0,56,303,6961.0
8/26/20,243,6626,0,56,311,7236.0
8/27/20,253,6915,0,56,318,7542.0
8/28/20,279,7147,0,56,324,7806.0
8/29/20,318,7410,0,57,330,8115.0
8/30/20,340,7584,0,57,334,8315.0
8/31/20,364,7691,0,57,335,8447.0
9/1/20,383,7848,0,57,340,8628.0
9/2/20,418,8149,0,57,342,8966.0
9/3/20,435,8339,0,57,346,9177.0
9/4/20,469,8575,0,57,347,9448.0
9/5/20,493,8765,0,57,352,9667.0
9/6/20,506,8911,0,58,354,9829.0
9/7/20,517,9000,0,58,358,9933.0
9/8/20,523,9058,0,58,360,9999.0
9/9/20,533,9146,0,58,360,10097.0
9/10/20,541,9304,0,58,363,10266.0
9/11/20,562,9446,0,58,367,10433.0
9/12/20,572,9559,0,58,373,10562.0
9/13/20,587,9654,0,58,375,10674.0
9/14/20,594,9723,0,58,378,10753.0
9/15/20,599,9782,0,58,378,10817.0
9/16/20,603,9879,0,58,378,10918.0
