Date,Acadia,Allen,Ascension,Assumption,Avoyelles,Beauregard,Bienville,Bossier,Caddo,Calcasieu,Caldwell,Cameron,Catahoula,Claiborne,Concordia,De Soto,East Baton Rouge,East Carroll,East Feliciana,Evangeline,Franklin,Grant,Iberia,Iberville,Jackson,Jefferson,Jefferson Davis,LaSalle,Lafayette,Lafourche,Lincoln,Livingston,Madison,Morehouse,Natchitoches,Orleans,Ouachita,Plaquemines,Pointe Coupee,Rapides,Red River,Richland,Sabine,St. Bernard,St. Charles,St. Helena,St. James,St. John the Baptist,St. Landry,St. Martin,St. Mary,St. Tammany,Tangipahoa,Tensas,Terrebonne,Union,Vermilion,Vernon,Washington,Webster,West Baton Rouge,West Carroll,West Feliciana,Winn,Total
3/24/20,2,2,36,2,3,2,1,12,40,5,0,0,1,2,0,6,58,0,0,2,0,1,2,14,0,293,0,0,12,16,2,6,0,0,2,675,7,8,0,10,0,1,0,19,15,0,9,21,3,1,2,52,4,0,14,0,0,2,3,3,5,0,0,0,1376.0
3/25/20,2,2,65,2,5,3,1,25,93,11,0,0,1,2,0,8,75,0,0,2,0,1,2,14,1,359,1,0,20,18,2,6,0,1,2,827,10,9,0,14,0,1,0,23,17,0,14,27,4,1,5,67,5,0,15,2,0,2,4,5,7,0,0,1,1784.0
3/26/20,3,5,91,5,7,3,1,32,115,15,0,0,1,2,0,11,105,0,4,2,0,1,3,17,1,458,1,0,30,28,3,11,1,3,2,997,19,13,1,25,0,1,0,28,22,0,29,38,5,2,5,89,7,0,21,2,1,2,6,8,8,0,0,1,2291.0
3/27/20,8,5,90,8,10,4,1,37,140,22,0,0,1,3,0,13,124,0,5,4,0,1,4,20,3,548,1,0,44,30,7,11,1,2,2,1170,25,16,1,26,0,2,0,31,23,0,40,41,10,10,6,111,7,0,23,4,2,2,8,9,11,0,0,1,2728.0
3/28/20,9,7,107,8,12,4,3,45,189,28,0,0,1,4,0,21,153,1,6,4,4,1,9,21,2,744,1,2,48,34,6,12,1,2,2,1298,34,19,2,37,0,2,0,43,30,0,48,54,10,13,7,134,10,0,26,7,3,2,10,9,12,0,4,1,3306.0
3/29/20,9,9,139,14,13,4,3,56,219,35,1,0,1,4,0,25,164,1,8,4,4,2,11,22,2,761,2,2,50,36,7,15,1,2,2,1350,41,20,2,41,1,2,1,45,31,0,55,57,10,13,7,138,10,0,29,9,2,2,12,9,12,0,4,1,3532.0
3/30/20,11,11,153,17,14,5,5,57,222,42,1,0,3,4,0,28,188,1,8,8,5,2,18,28,2,838,3,2,82,51,8,16,1,2,2,1480,44,22,2,44,1,2,1,53,36,0,65,75,15,20,10,186,18,0,34,9,3,3,22,11,12,0,4,1,4011.0
3/31/20,39,15,161,20,19,5,6,63,242,65,0,0,3,8,3,30,228,1,9,10,5,2,36,35,3,1193,5,2,118,74,12,23,1,2,2,1834,57,37,7,58,1,2,2,71,71,1,77,104,31,32,22,220,25,0,40,9,8,3,28,17,13,0,4,1,5215.0
4/1/20,47,19,189,25,31,8,6,75,298,90,0,0,3,10,5,39,244,1,10,11,5,3,49,36,4,1433,9,2,159,105,13,25,1,2,2,2270,80,47,7,69,1,3,3,94,82,1,86,118,45,41,26,270,33,0,55,11,10,6,39,17,14,0,8,1,6396.0
4/2/20,61,26,201,31,34,10,8,87,336,108,0,0,5,11,8,42,325,1,14,16,5,5,67,69,4,2178,13,2,247,158,13,33,1,4,4,3148,94,68,12,77,1,4,4,181,180,1,110,274,56,58,42,399,42,0,97,13,16,7,50,19,19,0,10,2,9111.0
4/3/20,72,34,222,33,37,13,9,95,377,119,1,0,6,18,10,46,389,1,19,18,10,5,78,81,4,2495,14,2,276,185,17,40,1,7,6,3476,114,75,13,81,2,4,4,196,210,1,116,290,68,69,47,435,55,0,102,17,18,8,57,23,23,0,11,2,10257.0
4/4/20,65,39,284,56,36,15,10,126,598,135,3,0,9,20,5,71,621,1,22,19,19,9,68,119,1,3008,9,4,229,217,17,64,1,9,15,3966,176,86,16,97,2,9,4,239,252,4,150,338,45,64,65,532,131,0,143,19,15,11,75,42,40,0,18,2,12465.0
4/5/20,75,40,286,59,37,19,12,133,647,139,10,0,9,23,5,80,656,1,27,19,25,8,69,122,1,3088,13,4,247,228,18,67,1,10,14,4066,182,92,17,100,2,10,5,242,260,5,155,345,47,77,67,560,171,0,148,19,16,10,81,49,40,0,19,2,12979.0
4/6/20,79,52,347,77,40,23,14,139,711,159,11,0,12,30,9,82,816,1,39,23,28,10,83,136,4,3530,21,6,260,305,19,79,1,15,22,4565,230,100,24,110,2,11,7,267,285,8,167,366,52,90,73,637,186,0,182,26,17,10,92,51,45,1,30,2,14819.0
4/7/20,82,58,358,84,45,23,17,146,756,186,13,1,13,30,11,89,892,1,39,23,28,10,89,160,5,3922,25,6,272,322,22,94,2,20,24,4942,264,115,26,129,2,13,7,289,310,10,176,415,60,101,76,700,238,0,194,33,19,11,100,50,52,1,31,3,16235.0
4/8/20,86,65,366,89,48,23,17,159,803,191,14,1,14,33,12,91,935,1,39,25,30,10,97,171,5,4092,28,8,285,355,24,99,2,23,25,5070,275,123,27,135,3,13,7,304,328,10,181,432,86,112,81,733,269,0,209,35,22,11,106,51,54,1,32,5,16981.0
4/9/20,89,66,370,94,56,26,24,171,906,209,18,1,17,38,13,101,1000,1,59,31,37,10,108,187,7,4480,30,9,303,393,28,103,2,24,27,5242,300,129,32,148,5,16,8,325,362,11,191,477,90,127,89,777,283,0,233,39,22,11,119,55,57,1,38,7,18232.0
4/10/20,94,67,397,105,56,27,27,175,950,228,18,1,18,40,16,107,1088,1,65,35,40,11,121,198,8,4678,32,9,330,426,33,107,2,27,33,5416,326,130,38,156,7,18,8,343,376,11,194,507,103,140,100,825,305,0,244,41,22,13,136,57,61,3,41,8,19199.0
4/11/20,98,71,415,109,61,27,30,178,974,248,18,2,20,41,17,114,1158,1,67,34,47,11,128,214,8,4877,35,10,337,454,37,109,2,31,33,5535,350,136,40,159,9,19,8,358,401,13,197,538,109,146,105,845,318,1,248,45,24,14,142,60,66,4,45,9,19960.0
4/12/20,99,73,428,116,61,27,33,186,1018,259,18,2,21,41,18,124,1223,1,71,36,48,11,136,232,8,4990,44,11,354,468,39,120,2,31,41,5600,367,137,43,165,11,19,9,361,404,13,204,545,113,157,113,864,344,1,255,47,26,14,147,62,68,4,46,12,20541.0
4/13/20,101,74,432,120,64,28,37,188,1033,268,18,2,21,41,19,125,1273,1,73,38,49,12,142,241,8,5088,47,13,360,481,39,122,2,32,41,5651,384,140,47,168,12,20,9,369,410,14,207,556,114,162,127,881,352,1,260,48,26,14,156,65,72,4,46,12,20960.0
4/14/20,104,74,438,123,65,28,37,207,1097,273,18,2,21,41,19,130,1295,1,77,39,49,12,148,253,9,5188,47,13,363,486,42,129,2,32,42,5718,387,142,49,175,13,20,10,377,460,14,208,562,115,168,129,898,391,1,265,50,27,14,162,65,76,4,46,12,21462.0
4/15/20,105,74,440,129,64,30,42,211,1118,282,18,2,22,44,21,134,1325,1,81,40,53,12,159,256,11,5265,48,13,375,499,41,133,2,32,42,5769,411,147,53,179,13,21,10,383,476,14,210,569,116,174,130,924,418,1,273,56,27,14,173,69,78,4,47,12,21895.0
4/16/20,108,78,451,132,66,33,45,220,1154,300,19,2,23,47,21,140,1389,1,84,41,58,12,164,258,12,5346,48,13,387,528,43,136,2,34,45,5847,429,149,60,192,15,22,11,388,486,17,214,609,118,179,134,944,422,1,283,67,28,14,179,71,81,4,55,17,22476.0
4/17/20,110,79,468,137,68,35,58,230,1220,309,19,2,23,48,23,145,1424,1,90,42,67,12,175,267,14,5476,52,13,396,542,47,142,4,34,50,5906,470,152,62,196,18,27,13,404,471,18,216,623,119,184,137,961,435,1,293,71,28,14,184,74,83,4,60,16,23062.0
4/18/20,110,79,496,143,68,35,65,230,1244,309,15,2,23,50,25,152,1476,1,90,43,78,12,176,270,14,5543,53,13,414,560,49,144,4,35,53,5953,483,156,64,201,19,27,13,409,487,19,217,637,133,187,143,987,440,1,310,75,30,14,188,76,86,4,74,16,23523.0
4/19/20,110,79,508,146,69,35,66,233,1261,323,15,3,24,50,26,156,1512,1,93,43,81,12,184,274,14,5592,55,13,419,566,49,148,4,37,57,6000,511,157,69,210,20,33,13,411,488,19,218,642,134,190,149,1011,442,1,320,78,30,14,191,76,88,4,74,19,23870.0
4/20/20,114,79,512,146,69,36,66,233,1276,324,15,3,24,50,26,158,1534,1,95,43,83,12,194,282,15,5761,55,14,423,573,51,149,4,38,58,6148,518,164,71,210,21,34,13,423,508,20,222,669,136,193,156,1057,452,1,342,79,33,14,195,78,90,4,78,19,24464.0
4/21/20,114,79,515,151,69,36,66,241,1310,334,15,3,24,50,26,168,1560,1,101,43,87,12,195,281,15,5802,57,14,429,576,52,158,4,39,58,6169,532,164,80,213,21,38,14,428,516,21,228,686,136,193,160,1067,489,1,346,82,33,14,206,79,90,4,81,19,24795.0
4/22/20,117,80,533,154,71,36,69,246,1332,341,15,3,24,50,27,171,1603,5,102,44,95,12,217,297,16,5860,57,15,435,583,58,161,5,41,62,6209,552,164,84,217,22,42,14,430,522,22,231,704,140,202,162,1079,494,1,350,85,33,14,214,79,90,4,82,19,25198.0
4/23/20,117,81,536,158,71,35,69,255,1389,352,17,3,24,50,27,176,1636,5,106,44,108,11,228,299,21,5929,57,15,439,603,62,165,5,45,62,6263,579,165,86,220,22,45,13,435,529,23,235,721,154,210,168,1111,501,1,357,89,33,14,225,81,90,4,84,19,25677.0
4/24/20,129,81,551,166,69,35,69,258,1407,356,17,3,25,52,28,180,1697,6,105,44,108,11,231,339,22,5985,57,17,440,607,64,172,5,46,65,6286,598,166,88,228,22,47,13,440,536,23,237,736,157,218,171,1131,508,1,363,95,33,15,232,80,93,4,89,20,26077.0
4/25/20,130,82,557,172,69,35,70,265,1432,360,17,3,25,52,30,184,1720,6,107,45,113,11,240,433,25,6007,59,18,442,610,69,177,7,46,73,6297,609,168,89,239,22,48,13,443,540,27,237,747,163,219,178,1138,526,1,366,102,34,16,241,82,92,4,97,20,26449.0
4/26/20,130,82,568,173,69,35,72,270,1448,363,17,3,25,52,30,185,1739,6,108,45,116,11,243,433,25,6059,59,19,443,624,72,182,7,46,73,6342,622,168,89,247,22,48,13,446,542,27,239,749,163,221,179,1162,528,1,371,102,34,16,245,83,91,4,103,20,26709.0
4/27/20,130,87,574,175,69,36,73,274,1470,369,17,3,25,52,31,187,1771,6,116,45,119,12,245,442,30,6104,61,21,443,632,79,183,7,48,77,6365,645,168,94,249,22,52,13,449,549,27,239,751,167,223,181,1172,535,1,375,103,35,16,253,83,94,4,104,22,27004.0
4/28/20,130,90,576,177,71,37,73,277,1497,377,17,3,25,53,32,189,1787,8,118,46,121,12,247,443,30,6135,61,21,446,635,80,185,7,48,77,6380,651,168,98,255,23,53,16,452,554,28,240,758,170,226,182,1184,540,1,382,108,35,16,256,85,94,4,109,26,27225.0
4/29/20,130,90,587,178,71,37,74,285,1525,386,18,3,35,54,36,191,1830,8,119,49,123,12,248,448,34,6173,62,22,451,651,83,190,7,51,79,6420,671,172,98,259,24,56,16,461,563,28,243,765,172,228,185,1205,549,1,389,114,35,16,261,85,96,4,111,32,27599.0
4/30/20,130,90,593,182,71,39,77,286,1540,389,18,3,36,59,38,190,1874,9,122,49,125,13,257,450,34,6197,62,23,455,651,85,197,7,52,84,6452,706,177,99,265,25,58,17,464,570,28,246,768,180,232,191,1220,553,1,437,117,35,16,262,85,98,4,115,32,27940.0
5/1/20,133,90,627,189,73,42,77,287,1579,437,20,3,40,59,39,194,1989,9,128,51,130,14,261,459,40,6305,63,26,463,661,85,229,7,52,86,6495,730,179,104,270,29,66,17,469,573,28,247,771,181,241,193,1270,565,1,450,125,37,16,273,92,108,4,129,38,28648.0
5/2/20,133,90,636,194,72,42,76,292,1601,449,20,3,44,59,39,198,2054,9,128,59,131,15,265,472,40,6362,64,26,464,666,88,235,8,54,87,6524,755,180,101,273,32,73,17,474,577,30,247,772,185,244,199,1321,584,2,456,131,38,16,282,92,110,4,142,41,29077.0
5/3/20,134,90,644,197,74,43,76,295,1610,455,31,3,45,58,39,198,2086,9,129,59,131,15,267,476,42,6388,64,26,466,669,90,238,8,55,87,6538,770,180,103,281,32,74,17,475,582,30,250,772,186,244,205,1325,584,2,459,135,38,16,285,92,110,4,149,42,29277.0
5/4/20,134,90,647,201,74,43,78,300,1629,464,39,3,46,58,40,202,2131,8,130,60,139,17,270,482,47,6426,65,27,468,681,94,243,8,55,90,6557,785,181,108,300,33,82,17,480,584,31,253,777,191,244,209,1341,588,2,466,143,38,16,291,92,111,4,153,44,29610.0
5/5/20,136,90,657,202,73,43,78,300,1639,470,40,3,46,58,41,202,2175,9,131,63,140,17,274,484,48,6491,65,27,473,686,96,247,8,55,90,6575,793,181,114,308,34,84,17,502,589,32,254,782,198,247,212,1369,605,2,469,144,40,17,292,95,115,4,156,46,29933.0
