Date,Addison,Bennington,Caledonia,Chittenden,Essex,Franklin,Grand Isle,Lamoille,Orange,Orleans,Rutland,Washington,Windham,Windsor,Total
1/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1/31/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/8/20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3/9/20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3/10/20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3/11/20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3/12/20,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
3/13/20,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
3/14/20,0,1,0,1,0,0,0,0,0,0,0,1,0,2,5.0
3/15/20,0,1,0,1,0,0,0,0,0,0,0,1,0,2,5.0
3/16/20,0,3,0,4,0,0,0,0,1,0,0,1,0,3,12.0
3/17/20,0,3,0,4,0,0,0,0,1,0,0,1,0,3,12.0
3/18/20,1,3,0,4,0,0,0,0,1,0,0,1,0,3,13.0
3/19/20,1,3,0,4,0,0,0,0,1,0,0,1,0,3,13.0
3/20/20,1,3,0,9,0,0,0,0,1,0,0,1,0,3,18.0
3/21/20,3,4,0,22,0,2,0,0,4,0,2,2,1,9,49.0
3/22/20,3,4,0,22,0,2,0,0,3,0,3,2,5,8,52.0
3/23/20,6,4,1,32,0,2,0,1,3,2,4,3,5,12,75.0
3/24/20,8,9,1,40,0,2,0,2,3,2,5,3,5,15,95.0
3/25/20,9,11,1,55,0,3,0,4,3,3,5,5,7,17,123.0
3/26/20,12,11,1,75,0,4,0,5,3,3,5,7,7,17,150.0
3/27/20,13,15,2,90,0,6,0,6,3,4,5,9,7,18,178.0
3/28/20,15,15,2,105,0,7,0,9,3,5,6,10,9,18,204.0
3/29/20,17,16,2,117,0,9,0,12,3,5,6,12,11,18,228.0
3/30/20,17,16,2,117,0,9,0,12,3,5,6,12,11,18,228.0
3/31/20,23,18,2,152,0,13,0,13,4,7,6,15,11,18,282.0
4/1/20,24,18,3,164,0,15,0,13,4,7,10,15,16,18,307.0
4/2/20,26,17,4,177,0,16,0,14,4,7,12,18,18,20,333.0
4/3/20,32,19,4,199,0,21,0,17,4,8,17,21,21,20,383.0
4/4/20,34,23,5,245,0,23,0,17,4,8,24,21,25,21,450.0
4/5/20,40,24,6,271,0,27,0,17,4,8,27,22,31,22,499.0
4/6/20,40,25,6,285,0,29,0,18,4,8,28,22,35,22,522.0
4/7/20,47,27,8,308,0,33,1,19,4,8,31,24,38,24,572.0
4/8/20,47,27,8,308,0,33,1,19,4,8,31,24,38,24,572.0
4/9/20,50,31,8,336,1,35,3,19,5,8,34,24,42,24,620.0
4/10/20,50,31,8,336,1,35,3,19,5,8,34,24,42,24,620.0
4/11/20,54,31,8,351,1,80,3,21,5,8,35,28,50,25,700.0
4/12/20,55,31,8,364,1,81,3,21,5,8,36,28,54,25,720.0
4/13/20,56,32,9,372,1,83,3,22,5,8,39,28,55,27,740.0
4/14/20,56,32,9,372,1,84,3,22,5,8,8,29,57,27,713.0
4/15/20,56,32,9,372,1,84,3,22,5,8,39,29,57,27,744.0
4/16/20,56,33,9,377,1,86,3,22,5,8,41,29,58,31,759.0
4/17/20,57,33,10,378,1,88,3,22,5,8,41,30,60,33,769.0
4/18/20,61,37,10,384,1,90,3,23,5,9,42,31,63,34,793.0
4/19/20,61,37,12,385,2,91,3,23,5,9,43,32,63,37,803.0
4/20/20,61,37,12,385,2,93,3,23,5,9,43,32,63,37,805.0
4/21/20,61,37,12,391,2,92,3,23,6,9,44,32,65,38,815.0
4/22/20,61,37,12,393,2,92,3,23,6,9,44,33,67,38,820.0
4/23/20,61,37,12,395,2,90,3,25,6,9,44,33,67,38,822.0
4/24/20,61,38,12,396,2,90,3,25,6,9,44,33,67,38,824.0
4/25/20,61,39,13,405,2,90,3,26,6,9,44,33,68,39,838.0
4/26/20,61,40,13,410,2,91,3,26,6,9,44,33,69,39,846.0
4/27/20,61,40,13,414,2,91,3,26,7,9,44,32,70,40,852.0
4/28/20,61,44,13,416,2,91,3,26,7,9,44,32,71,40,859.0
4/29/20,61,44,13,416,2,91,3,26,7,9,44,32,71,40,859.0
4/30/20,61,44,13,418,2,91,3,26,7,9,45,33,71,40,863.0
5/1/20,61,47,14,419,2,98,3,26,7,9,46,33,71,40,876.0
5/2/20,61,47,14,422,2,98,3,26,7,9,49,33,71,41,883.0
5/3/20,61,51,14,423,2,99,4,25,7,9,49,35,72,42,893.0
5/4/20,61,51,14,425,2,99,4,26,8,9,49,35,72,43,898.0
5/5/20,61,54,14,425,2,99,4,26,8,9,50,35,73,43,903.0
5/6/20,61,53,14,426,2,99,4,26,8,9,49,36,73,44,904.0
5/7/20,61,53,14,431,2,99,4,26,8,9,49,37,73,46,912.0
5/8/20,62,54,14,431,2,99,4,26,8,9,50,37,73,46,915.0
5/9/20,62,56,14,431,2,99,4,26,8,9,49,37,74,46,917.0
5/10/20,62,61,14,432,2,99,4,26,8,9,49,38,74,45,923.0
5/11/20,62,60,14,432,2,99,4,26,8,9,49,38,74,45,922.0
5/12/20,62,60,14,432,2,99,4,26,8,9,49,38,75,45,923.0
5/13/20,62,60,14,432,2,99,4,27,8,9,49,38,75,46,925.0
5/14/20,62,60,14,432,2,99,4,27,8,9,49,38,77,47,928.0
5/15/20,62,60,14,433,2,99,4,27,8,9,49,38,77,47,929.0
5/16/20,62,60,14,434,2,99,4,27,8,9,49,38,77,47,930.0
5/17/20,62,60,14,439,2,99,4,27,8,9,50,38,76,47,935.0
5/18/20,62,60,14,439,2,99,4,27,8,9,50,38,76,47,935.0
5/19/20,62,60,14,439,2,99,4,28,8,9,50,38,77,48,938.0
5/20/20,62,60,14,439,2,99,4,27,8,9,50,38,77,48,937.0
5/21/20,62,60,14,440,2,99,5,29,8,9,50,38,80,49,945.0
5/22/20,62,60,14,440,3,99,5,29,8,9,51,38,80,49,947.0
5/23/20,62,60,14,440,3,99,6,29,8,9,51,39,80,49,949.0
5/24/20,62,61,15,440,3,99,6,29,8,9,51,39,80,49,951.0
5/25/20,62,62,15,441,3,99,7,29,8,9,53,39,80,50,957.0
5/26/20,62,62,15,444,3,99,7,29,8,10,53,39,80,51,962.0
5/27/20,62,62,15,446,3,99,7,29,8,10,54,39,80,51,965.0
5/28/20,62,62,15,449,3,99,7,29,8,10,54,39,81,51,969.0
5/29/20,62,63,15,448,3,99,7,29,8,10,55,39,81,51,970.0
5/30/20,63,63,15,449,3,99,7,29,8,10,55,39,81,51,972.0
5/31/20,64,63,15,451,3,99,7,29,9,10,55,39,81,51,976.0
6/1/20,64,63,15,453,3,99,7,29,9,10,55,39,81,51,978.0
6/2/20,64,64,15,457,3,99,7,29,9,10,55,39,81,51,983.0
6/3/20,64,64,16,457,3,99,7,29,9,10,55,39,81,52,985.0
6/4/20,64,65,16,491,3,99,7,29,9,10,56,39,81,52,1021.0
6/5/20,64,66,16,490,3,100,7,29,9,10,56,39,81,52,1022.0
6/6/20,65,66,16,503,3,100,7,29,9,10,57,39,82,55,1041.0
6/7/20,65,66,16,520,3,100,7,29,9,10,57,39,82,55,1058.0
6/8/20,65,66,16,528,3,100,7,29,9,13,57,39,83,55,1070.0
6/9/20,66,66,16,535,3,100,7,29,9,13,57,39,83,56,1079.0
6/10/20,66,67,16,544,3,101,7,29,9,13,57,39,83,56,1090.0
6/11/20,66,67,16,559,3,101,8,29,9,13,57,39,83,55,1105.0
6/12/20,66,67,16,564,3,102,8,29,9,13,58,40,84,55,1114.0
6/13/20,66,67,16,568,3,102,8,29,9,13,58,41,85,55,1120.0
6/14/20,66,67,16,568,3,102,8,29,9,13,59,41,85,55,1121.0
6/15/20,66,67,16,570,3,102,8,29,9,13,59,41,85,55,1123.0
6/16/20,66,67,16,573,3,102,8,29,9,13,59,41,85,55,1126.0
6/17/20,66,67,16,572,3,102,8,29,9,13,59,41,85,55,1125.0
6/18/20,67,68,16,574,3,102,8,29,9,13,60,41,85,55,1130.0
6/19/20,67,69,16,579,3,102,8,30,9,14,61,41,85,55,1139.0
6/20/20,67,69,17,579,3,102,8,30,9,14,61,41,87,55,1142.0
6/21/20,67,69,18,586,3,102,8,30,9,14,61,41,91,55,1154.0
6/22/20,67,69,18,590,3,102,8,30,9,14,61,41,91,55,1158.0
6/23/20,68,69,18,590,3,102,8,30,9,14,61,41,91,55,1159.0
6/24/20,68,69,18,598,3,102,9,30,9,14,71,41,92,55,1179.0
6/25/20,68,70,19,599,3,103,10,30,9,14,71,41,93,56,1186.0
6/26/20,68,71,19,601,3,103,10,30,9,14,73,41,93,58,1193.0
6/27/20,68,71,19,601,3,104,10,30,9,14,73,41,94,58,1195.0
6/28/20,68,71,19,602,3,104,10,30,9,14,73,41,94,58,1196.0
6/29/20,68,72,19,607,3,104,10,30,9,14,73,41,94,58,1202.0
6/30/20,68,72,19,607,3,104,10,30,9,14,73,41,94,58,1202.0
7/1/20,68,72,19,608,3,105,10,30,9,14,73,41,94,58,1204.0
7/2/20,68,72,20,617,3,108,10,31,9,14,73,41,97,59,1222.0
7/3/20,68,73,20,622,3,110,10,31,9,14,74,41,97,59,1231.0
7/4/20,68,73,20,623,3,110,10,32,9,14,74,41,97,59,1233.0
7/5/20,68,73,21,629,3,110,10,34,10,14,74,42,97,59,1244.0
7/6/20,68,73,21,630,4,110,10,34,10,14,74,42,97,59,1246.0
7/7/20,68,73,21,631,4,110,10,34,10,14,75,42,98,59,1249.0
7/8/20,68,73,21,632,4,110,10,34,10,14,75,42,97,61,1251.0
7/9/20,68,74,21,643,5,110,10,36,10,14,75,42,98,61,1267.0
7/10/20,68,74,21,645,5,110,10,37,10,14,75,42,99,62,1272.0
7/11/20,68,74,21,650,5,110,10,37,10,14,75,43,99,62,1278.0
7/12/20,68,74,21,658,5,110,13,38,10,14,76,43,99,62,1291.0
7/13/20,68,74,22,659,5,110,13,39,10,14,78,43,99,62,1296.0
7/14/20,68,74,22,662,5,110,13,40,10,14,78,43,99,62,1300.0
7/15/20,70,76,23,667,5,110,13,40,10,14,78,44,99,64,1313.0
7/16/20,70,76,24,672,5,110,13,41,10,14,78,44,99,64,1320.0
7/17/20,70,76,24,679,5,110,13,41,10,14,79,44,99,65,1329.0
7/18/20,70,76,24,681,5,110,13,41,10,14,79,45,99,65,1332.0
7/19/20,70,79,24,683,5,110,13,42,11,14,80,45,100,65,1341.0
7/20/20,71,79,25,688,5,110,13,42,11,14,80,45,100,67,1350.0
7/21/20,71,80,25,696,4,111,13,42,11,14,80,45,100,67,1359.0
7/22/20,71,80,25,695,4,111,13,42,11,14,80,45,100,68,1359.0
7/23/20,71,80,25,705,4,111,13,42,11,14,80,45,100,69,1370.0
7/24/20,72,81,25,706,4,113,13,42,11,14,82,46,100,69,1378.0
7/25/20,71,81,25,711,4,114,13,42,14,14,83,47,101,69,1389.0
7/26/20,71,82,25,713,4,114,13,42,14,14,84,47,101,69,1393.0
7/27/20,71,82,25,713,4,115,13,42,15,14,84,47,101,69,1395.0
7/28/20,71,82,26,715,4,115,13,42,15,14,84,47,101,69,1398.0
7/29/20,71,83,26,715,4,115,13,42,15,14,84,47,101,69,1399.0
7/30/20,71,83,26,715,4,115,13,42,15,14,84,47,101,70,1400.0
7/31/20,71,83,26,715,4,117,13,42,15,14,89,47,101,70,1407.0
8/1/20,72,84,26,717,4,117,13,42,16,14,89,47,101,71,1413.0
8/2/20,72,84,26,720,4,117,13,42,16,14,89,49,101,71,1418.0
8/3/20,72,84,26,721,4,117,13,42,16,14,89,49,101,71,1419.0
8/4/20,73,84,26,723,4,117,13,42,16,14,89,50,101,71,1423.0
8/5/20,73,84,26,723,4,118,13,42,14,14,92,52,102,71,1428.0
8/6/20,73,85,26,723,4,118,13,43,14,14,97,53,102,72,1437.0
8/7/20,73,85,26,724,4,118,13,43,14,14,99,53,102,72,1440.0
8/8/20,73,85,26,728,6,118,13,43,14,14,99,53,102,72,1446.0
8/9/20,73,87,28,729,6,118,13,43,14,14,99,53,102,72,1451.0
8/10/20,73,88,28,730,6,118,13,43,14,14,100,53,102,72,1454.0
8/11/20,74,90,28,735,6,118,13,43,15,14,99,53,104,72,1464.0
8/12/20,74,90,28,735,6,118,13,43,15,14,100,57,104,73,1470.0
8/13/20,74,91,28,738,6,118,13,43,16,14,101,57,104,73,1476.0
8/14/20,74,92,28,749,6,120,13,43,16,15,101,57,105,74,1493.0
8/15/20,75,92,29,752,6,120,13,43,17,15,101,58,105,75,1501.0
8/16/20,76,92,29,756,6,121,13,43,17,15,101,58,105,75,1507.0
8/17/20,76,92,29,763,6,121,13,45,18,15,101,58,107,75,1519.0
8/18/20,76,92,29,763,6,121,13,45,18,15,102,58,109,75,1522.0
8/19/20,76,92,29,764,6,122,13,45,18,15,102,59,109,75,1525.0
8/20/20,76,92,30,766,6,122,13,45,19,15,102,59,109,75,1529.0
8/21/20,76,92,30,766,6,122,13,45,20,15,103,59,111,75,1533.0
8/22/20,77,95,30,770,6,122,13,45,20,15,103,60,114,75,1545.0
8/23/20,77,96,30,773,6,122,13,45,20,15,103,60,114,75,1549.0
8/24/20,77,96,30,775,6,123,13,45,20,15,105,61,117,75,1558.0
8/25/20,77,96,30,779,6,123,13,45,20,15,105,61,119,75,1564.0
8/26/20,77,97,30,780,6,123,13,45,20,15,107,61,120,75,1569.0
8/27/20,80,98,32,779,6,122,13,45,20,15,110,61,120,77,1578.0
8/28/20,79,100,32,779,6,122,13,45,20,15,111,62,120,77,1581.0
8/29/20,81,100,33,787,6,122,13,45,20,15,112,62,123,78,1597.0
8/30/20,81,102,34,789,6,122,13,45,20,15,117,62,123,79,1608.0
8/31/20,81,102,33,797,6,122,13,45,20,15,118,62,123,79,1616.0
9/1/20,81,102,33,803,6,122,13,45,20,15,122,62,123,80,1627.0
9/2/20,81,104,33,803,6,122,13,45,20,15,123,62,123,79,1629.0
9/3/20,81,105,33,800,6,123,13,45,20,15,123,63,123,79,1629.0
9/4/20,82,105,33,801,6,123,13,45,20,15,125,63,123,80,1634.0
9/5/20,82,105,33,802,6,123,13,45,20,16,126,64,123,80,1638.0
9/6/20,82,106,33,802,6,123,13,45,20,17,126,64,123,80,1640.0
9/7/20,82,107,33,802,6,123,13,45,21,17,126,64,123,81,1643.0
9/8/20,82,107,33,803,6,123,13,46,21,18,126,64,123,81,1646.0
9/9/20,82,108,33,803,6,124,13,46,21,18,126,64,123,81,1648.0
9/10/20,82,108,33,804,6,123,13,47,21,22,126,64,123,81,1653.0
9/11/20,82,107,33,808,6,123,13,47,22,22,126,66,123,82,1660.0
9/12/20,82,107,34,811,6,123,13,47,22,22,128,69,123,82,1669.0
9/13/20,82,108,34,814,6,123,13,48,22,22,128,71,123,82,1676.0
9/14/20,82,109,34,818,6,123,14,50,22,22,128,74,123,83,1688.0
9/15/20,82,108,34,821,6,123,14,51,22,22,129,76,123,83,1694.0
9/16/20,82,108,34,822,6,123,14,51,22,21,129,76,123,83,1694.0
